passage_id,book,passage,translation_count,mean_pairwise_cosine,min_pairwise_cosine,mean_length_ratio,anchor_confidence
b01_p01,1,1,6,0.160589,0.049004,0.846889,0.435109
b01_p02,1,2,6,0.149472,0.011666,0.845136,0.427738
b01_p03,1,3,6,0.118352,0.024934,0.846164,0.409477
b01_p04,1,4,6,0.140774,0.030476,0.846093,0.422901
b01_p05,1,5,6,0.149888,0.020931,0.846683,0.428606
b01_p06,1,6,6,0.147531,0.038378,0.845341,0.426655
b01_p07,1,7,6,0.134778,0.022114,0.846889,0.419622
b01_p08,1,8,6,0.104898,0.005261,0.845367,0.401086
b01_p09,1,9,6,0.13117,0.047691,0.845932,0.417075
b01_p10,1,10,6,0.083166,0.013744,0.846889,0.388655
b01_p11,1,11,6,0.0686,0.019821,0.847463,0.380145
b01_p12,1,12,6,0.122439,0.011299,0.845932,0.411836
b01_p13,1,13,6,0.098727,0.025303,0.845367,0.397383
b01_p14,1,14,6,0.086756,0.014963,0.846889,0.390809
b01_p15,1,15,6,0.087344,0.012575,0.845341,0.390543
b01_p16,1,16,6,0.092245,0.022523,0.846683,0.39402
b01_p17,1,17,6,0.084958,0.021309,0.846093,0.389412
b01_p18,1,18,6,0.112609,0.01426,0.846164,0.406031
b01_p19,1,19,6,0.090337,0.001593,0.845136,0.392257
b01_p20,1,20,6,0.112552,0.008422,0.846889,0.406287
b02_p01,2,1,6,0.138513,0.029965,0.883296,0.436426
b02_p02,2,2,6,0.12448,0.021944,0.8838,0.428208
b02_p03,2,3,6,0.12537,0.029068,0.882818,0.428349
b02_p04,2,4,6,0.138986,0.067754,0.884119,0.437039
b02_p05,2,5,6,0.085467,0.011218,0.882631,0.404333
b02_p06,2,6,6,0.118259,0.019609,0.883023,0.424164
b02_p07,2,7,6,0.123774,0.05339,0.884464,0.42805
b02_p08,2,8,6,0.12231,0.020599,0.882429,0.426358
b02_p09,2,9,6,0.141629,0.005626,0.883296,0.438295
b02_p10,2,10,6,0.145624,0.042358,0.884624,0.441224
b02_p11,2,11,6,0.112956,0.026964,0.883023,0.420983
b02_p12,2,12,6,0.128601,0.007305,0.883296,0.430479
