passage_id,book,passage,translation_a,translation_b,cosine_similarity,length_ratio,alignment_confidence
b01_p01,1,1,chapman_1616,pope_1726,0.142096,0.691558,0.450042
b01_p01,1,1,chapman_1616,cowper_1791,0.14549,0.707792,0.455967
b01_p01,1,1,chapman_1616,butcher_lang_1879,0.137949,0.811688,0.477794
b01_p01,1,1,chapman_1616,butler_1900,0.154507,0.672078,0.448999
b01_p01,1,1,chapman_1616,murray_1919,0.134557,0.805195,0.459305
b01_p01,1,1,pope_1726,cowper_1791,0.125873,0.977064,0.512496
b01_p01,1,1,pope_1726,butcher_lang_1879,0.115588,0.852,0.475573
b01_p01,1,1,pope_1726,butler_1900,0.096465,0.971831,0.492014
b01_p01,1,1,pope_1726,murray_1919,0.049004,0.858871,0.42567
b01_p01,1,1,cowper_1791,butcher_lang_1879,0.147978,0.872,0.498388
b01_p01,1,1,cowper_1791,butler_1900,0.17439,0.949541,0.5293
b01_p01,1,1,cowper_1791,murray_1919,0.136523,0.879032,0.478846
b01_p01,1,1,butcher_lang_1879,butler_1900,0.187253,0.828,0.505989
b01_p01,1,1,butcher_lang_1879,murray_1919,0.487059,0.992,0.699883
b01_p01,1,1,butler_1900,murray_1919,0.174105,0.834677,0.488427
b01_p02,1,2,chapman_1616,pope_1726,0.036553,0.686084,0.390625
b01_p02,1,2,chapman_1616,cowper_1791,0.176719,0.705502,0.472571
b01_p02,1,2,chapman_1616,butcher_lang_1879,0.106473,0.809061,0.459826
b01_p02,1,2,chapman_1616,butler_1900,0.163854,0.669903,0.453595
b01_p02,1,2,chapman_1616,murray_1919,0.117908,0.805825,0.450306
b01_p02,1,2,pope_1726,cowper_1791,0.029564,0.972477,0.458379
b01_p02,1,2,pope_1726,butcher_lang_1879,0.020899,0.848,0.422494
b01_p02,1,2,pope_1726,butler_1900,0.02535,0.976415,0.454047
b01_p02,1,2,pope_1726,murray_1919,0.011666,0.851406,0.403268
b01_p02,1,2,cowper_1791,butcher_lang_1879,0.171638,0.872,0.511401
b01_p02,1,2,cowper_1791,butler_1900,0.19179,0.949541,0.53887
b01_p02,1,2,cowper_1791,murray_1919,0.167341,0.875502,0.494913
b01_p02,1,2,butcher_lang_1879,butler_1900,0.263356,0.828,0.547846
b01_p02,1,2,butcher_lang_1879,murray_1919,0.522248,0.996,0.720236
b01_p02,1,2,butler_1900,murray_1919,0.23672,0.831325,0.522027
b01_p03,1,3,chapman_1616,pope_1726,0.061628,0.691558,0.405785
b01_p03,1,3,chapman_1616,cowper_1791,0.1214,0.707792,0.442718
b01_p03,1,3,chapman_1616,butcher_lang_1879,0.08463,0.814935,0.44928
b01_p03,1,3,chapman_1616,butler_1900,0.100443,0.672078,0.419263
b01_p03,1,3,chapman_1616,murray_1919,0.096414,0.805195,0.438326
b01_p03,1,3,pope_1726,cowper_1791,0.04626,0.977064,0.468709
b01_p03,1,3,pope_1726,butcher_lang_1879,0.024934,0.848606,0.424865
b01_p03,1,3,pope_1726,butler_1900,0.030098,0.971831,0.455512
b01_p03,1,3,pope_1726,murray_1919,0.025039,0.858871,0.412489
b01_p03,1,3,cowper_1791,butcher_lang_1879,0.208869,0.868526,0.531009
b01_p03,1,3,cowper_1791,butler_1900,0.105051,0.949541,0.491163
b01_p03,1,3,cowper_1791,murray_1919,0.137929,0.879032,0.479619
b01_p03,1,3,butcher_lang_1879,butler_1900,0.145897,0.824701,0.482418
