gephi_graphml,html,plotted_edges,plotted_hyperedges,plotted_incidences,plotted_nodes,png,renderer,selection_rule,source_edges,source_hyperedges,source_incidences,source_nodes,svg,translation,translation_id,visualization
../hypergraphs/butcher_lang_1879_attribute_projection.graphml,projection_pyvis/butcher_lang_1879_attribute_projection.html,700,,,62,projection_static/butcher_lang_1879_attribute_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,3758,,,131,projection_static/butcher_lang_1879_attribute_projection.svg,S. H. Butcher and Andrew Lang (1879),butcher_lang_1879,attribute_projection
../hypergraphs/butcher_lang_1879_target_projection.graphml,projection_pyvis/butcher_lang_1879_target_projection.html,700,,,65,projection_static/butcher_lang_1879_target_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,3015,,,90,projection_static/butcher_lang_1879_target_projection.svg,S. H. Butcher and Andrew Lang (1879),butcher_lang_1879,target_projection
../hypergraphs/butler_1900_attribute_projection.graphml,projection_pyvis/butler_1900_attribute_projection.html,700,,,64,projection_static/butler_1900_attribute_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,2786,,,115,projection_static/butler_1900_attribute_projection.svg,Samuel Butler (1900),butler_1900,attribute_projection
../hypergraphs/butler_1900_target_projection.graphml,projection_pyvis/butler_1900_target_projection.html,700,,,65,projection_static/butler_1900_target_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,2753,,,89,projection_static/butler_1900_target_projection.svg,Samuel Butler (1900),butler_1900,target_projection
../hypergraphs/chapman_1616_attribute_projection.graphml,projection_pyvis/chapman_1616_attribute_projection.html,700,,,61,projection_static/chapman_1616_attribute_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,3971,,,118,projection_static/chapman_1616_attribute_projection.svg,George Chapman (1616),chapman_1616,attribute_projection
../hypergraphs/chapman_1616_target_projection.graphml,projection_pyvis/chapman_1616_target_projection.html,700,,,61,projection_static/chapman_1616_target_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,2985,,,87,projection_static/chapman_1616_target_projection.svg,George Chapman (1616),chapman_1616,target_projection
../hypergraphs/cowper_1791_attribute_projection.graphml,projection_pyvis/cowper_1791_attribute_projection.html,700,,,65,projection_static/cowper_1791_attribute_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,4670,,,135,projection_static/cowper_1791_attribute_projection.svg,William Cowper (1791),cowper_1791,attribute_projection
../hypergraphs/cowper_1791_target_projection.graphml,projection_pyvis/cowper_1791_target_projection.html,700,,,68,projection_static/cowper_1791_target_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,2237,,,86,projection_static/cowper_1791_target_projection.svg,William Cowper (1791),cowper_1791,target_projection
../hypergraphs/murray_1919_attribute_projection.graphml,projection_pyvis/murray_1919_attribute_projection.html,700,,,65,projection_static/murray_1919_attribute_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,3934,,,124,projection_static/murray_1919_attribute_projection.svg,A. T. Murray (1919),murray_1919,attribute_projection
../hypergraphs/murray_1919_target_projection.graphml,projection_pyvis/murray_1919_target_projection.html,700,,,65,projection_static/murray_1919_target_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,2954,,,94,projection_static/murray_1919_target_projection.svg,A. T. Murray (1919),murray_1919,target_projection
../hypergraphs/pope_1726_attribute_projection.graphml,projection_pyvis/pope_1726_attribute_projection.html,700,,,63,projection_static/pope_1726_attribute_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,5474,,,139,projection_static/pope_1726_attribute_projection.svg,Alexander Pope (1726),pope_1726,attribute_projection
../hypergraphs/pope_1726_target_projection.graphml,projection_pyvis/pope_1726_target_projection.html,700,,,65,projection_static/pope_1726_target_projection.png,NetworkX/Matplotlib static; PyVis interactive; Gephi GraphML source,top 70 nodes by weighted strength and top 700 induced edges by weight,2762,,,89,projection_static/pope_1726_target_projection.svg,Alexander Pope (1726),pope_1726,target_projection
,,,10,195,34,xgi_native/butcher_lang_1879_xgi_hypergraph.png,XGI native hull and bipartite incidence,top 10 target hyperedges and top 34 attributes by summed incidence weight,,90,967,131,xgi_native/butcher_lang_1879_xgi_hypergraph.svg,S. H. Butcher and Andrew Lang (1879),butcher_lang_1879,xgi_native_hypergraph
,,,10,164,34,xgi_native/butler_1900_xgi_hypergraph.png,XGI native hull and bipartite incidence,top 10 target hyperedges and top 34 attributes by summed incidence weight,,89,785,115,xgi_native/butler_1900_xgi_hypergraph.svg,Samuel Butler (1900),butler_1900,xgi_native_hypergraph
,,,10,229,34,xgi_native/chapman_1616_xgi_hypergraph.png,XGI native hull and bipartite incidence,top 10 target hyperedges and top 34 attributes by summed incidence weight,,87,1069,118,xgi_native/chapman_1616_xgi_hypergraph.svg,George Chapman (1616),chapman_1616,xgi_native_hypergraph
,,,10,181,34,xgi_native/cowper_1791_xgi_hypergraph.png,XGI native hull and bipartite incidence,top 10 target hyperedges and top 34 attributes by summed incidence weight,,86,952,135,xgi_native/cowper_1791_xgi_hypergraph.svg,William Cowper (1791),cowper_1791,xgi_native_hypergraph
,,,10,187,34,xgi_native/murray_1919_xgi_hypergraph.png,XGI native hull and bipartite incidence,top 10 target hyperedges and top 34 attributes by summed incidence weight,,94,992,124,xgi_native/murray_1919_xgi_hypergraph.svg,A. T. Murray (1919),murray_1919,xgi_native_hypergraph
,,,10,217,34,xgi_native/pope_1726_xgi_hypergraph.png,XGI native hull and bipartite incidence,top 10 target hyperedges and top 34 attributes by summed incidence weight,,89,1236,139,xgi_native/pope_1726_xgi_hypergraph.svg,Alexander Pope (1726),pope_1726,xgi_native_hypergraph
