category,bootstrap_iterations,slope_mean,slope_ci_2_5,slope_ci_97_5,probability_positive
moral_evaluation,500,-1.565107432049396,-2.8031145809134594,-0.09459317770803648,0.01
social_status,500,-1.5454808633709494,-2.075138567494536,-0.9854369645736072,0.0
behavior_disposition,500,-1.3299736288130946,-1.7685550883159928,-0.9130057550451498,0.0
affect_state,500,-0.6899345744208479,-1.3837529555921328,-0.003310767709022999,0.026
luminosity,500,-0.4617688404656493,-0.8203804402205961,-0.0650312630293827,0.016
scale_intensity,500,-0.38486807423759195,-1.3400009300397122,0.7303090021728296,0.236
agency_capacity,500,-0.08321994576739558,-0.44484292697428296,0.29647719335198597,0.3
color_material,500,0.5933811736487306,0.19852744959546922,0.9930604929300584,1.0
color_hue,500,0.5944382111633842,0.036274436892948014,1.2273725673195823,0.976
color_complex,500,0.9136984474492822,0.6181899685292495,1.2122805663128622,1.0
cognitive_evaluation,500,0.9750733995728623,0.27526835742268546,1.688840837188248,0.996
appearance_age,500,1.6815547338480894,0.6455803874918787,2.602107165959881,1.0
