translation_a,translation_b,year_a,year_b,year_distance,jensen_shannon_divergence,category_cosine_similarity
butcher_lang_1879,butler_1900,1879,1900,21,0.0387685412497194,0.9608980645509755
butcher_lang_1879,chapman_1616,1879,1616,263,0.02505763615978972,0.9795093106616388
butcher_lang_1879,cowper_1791,1879,1791,88,0.025666082447539703,0.969629498865339
butcher_lang_1879,murray_1919,1879,1919,40,0.004628802313163677,0.9959044049892691
butcher_lang_1879,pope_1726,1879,1726,153,0.04853421311931674,0.94037901522606
butler_1900,chapman_1616,1900,1616,284,0.024728027880792754,0.9827237913460105
butler_1900,cowper_1791,1900,1791,109,0.04067218282681439,0.9575047314911844
butler_1900,murray_1919,1900,1919,19,0.02999462576123504,0.9712914312650712
butler_1900,pope_1726,1900,1726,174,0.054729300151058924,0.9414181869560766
chapman_1616,cowper_1791,1616,1791,175,0.01665798254629068,0.9824245934478842
chapman_1616,murray_1919,1616,1919,303,0.01681307139649084,0.9851357426614405
chapman_1616,pope_1726,1616,1726,110,0.026174538528483726,0.9685246552604576
cowper_1791,murray_1919,1791,1919,128,0.01570809682548435,0.9750831769453966
cowper_1791,pope_1726,1791,1726,65,0.01827152081179877,0.9779100255942398
murray_1919,pope_1726,1919,1726,193,0.040999501533406334,0.9437322995805749
