translation_id,attribute,local_count,other_count,log_odds_ratio,z_score
butcher_lang_1879,evil,108.0,131.0,1.129120558907303,8.72036722699558
butcher_lang_1879,gray-eyed,56.0,7.0,3.3207620379799803,8.597546430711853
butcher_lang_1879,steadfast,52.0,23.0,2.1110072857558317,8.523893186102377
butcher_lang_1879,wise,195.0,416.0,0.5717921708370914,6.609473308720246
butcher_lang_1879,fair,186.0,410.0,0.5362717461252244,6.086068827648691
butcher_lang_1879,lordly,32.0,24.0,1.5838878993290226,5.92979230029201
butcher_lang_1879,black,73.0,130.0,0.73494565591285,5.049139637334528
butcher_lang_1879,wide,62.0,111.0,0.7278951170492065,4.615314325347432
butcher_lang_1879,bronze,44.0,67.0,0.8871392317953335,4.602379785371851
butcher_lang_1879,shining,25.0,29.0,1.1537869807196852,4.2739758535199455
butcher_lang_1879,wine-dark,12.0,7.0,1.8055040455326052,3.9159367060521113
butcher_lang_1879,mighty,76.0,175.0,0.4761632984640731,3.483310787413062
butcher_lang_1879,dark,54.0,114.0,0.5616033843855059,3.4197849919297596
butcher_lang_1879,glad,47.0,99.0,0.5633951422934942,3.2012657437555245
butcher_lang_1879,godlike,46.0,98.0,0.5519830617778831,3.1088633270674935
butcher_lang_1879,white,34.0,67.0,0.6296982647367049,3.0148337038760378
butcher_lang_1879,crafty,14.0,18.0,1.0531169720764835,3.007465700708274
butcher_lang_1879,rosy-fingered,21.0,36.0,0.7692877475215507,2.834917395393064
butcher_lang_1879,great,190.0,560.0,0.23266131498112452,2.7816644756566973
butcher_lang_1879,sorrowful,5.0,3.0,1.7447052996952772,2.5557298808386544
butcher_lang_1879,noble,64.0,168.0,0.3428937987138343,2.347588926628635
butcher_lang_1879,gray,19.0,39.0,0.5922624688119047,2.1442989662971055
butcher_lang_1879,guileful,7.0,11.0,0.8679349075445346,1.8523670951902447
butcher_lang_1879,senseless,2.0,1.0,1.802661171590131,1.747854058875112
butcher_lang_1879,tall,18.0,43.0,0.4429939192212231,1.5995734826213406
butcher_lang_1879,tireless,1.0,0.0,2.38929635369146,1.4651399668604437
butcher_lang_1879,deep,116.0,373.0,0.13780068041906368,1.3022948643155097
butcher_lang_1879,ashen,5.0,10.0,0.6488523053000295,1.235019021603052
butcher_lang_1879,trusty,3.0,5.0,0.8424872427293071,1.2341166275156739
butcher_lang_1879,violet,2.0,3.0,0.9574020772376768,1.1578445357077285
butcher_lang_1879,bitter,17.0,46.0,0.3206087259949575,1.1460214516840486
butcher_lang_1879,princely,4.0,8.0,0.6592459965581092,1.1328856912271033
butcher_lang_1879,ancient,17.0,47.0,0.29933247635582916,1.073105240455936
butcher_lang_1879,red,10.0,27.0,0.33424481907945314,0.9235768145250909
butcher_lang_1879,holy,9.0,24.0,0.3495206109107114,0.9166473130038423
butcher_lang_1879,reckless,2.0,4.0,0.7067944641725301,0.8975097853796781
butcher_lang_1879,brown,1.0,2.0,0.7831465651586784,0.7593362103646212
butcher_lang_1879,strong,39.0,127.0,0.1270833025253042,0.6998962442381895
butcher_lang_1879,cunning,9.0,27.0,0.23427287715293765,0.624123008848174
butcher_lang_1879,righteous,6.0,18.0,0.2508517952473852,0.5515453511563115
butcher_lang_1879,dim,3.0,9.0,0.2977097894213987,0.47723174543627594
butcher_lang_1879,dark-haired,1.0,3.0,0.4477549589651444,0.4596438334296515
butcher_lang_1879,greedy,1.0,3.0,0.4477549589651444,0.4596438334296515
butcher_lang_1879,vermilion,1.0,3.0,0.4477549589651444,0.4596438334296515
butcher_lang_1879,wrathful,1.0,3.0,0.4477549589651444,0.4596438334296515
butcher_lang_1879,helpless,2.0,6.0,0.3403379491336578,0.4583102477141173
butcher_lang_1879,shameless,9.0,29.0,0.1642381771302004,0.44147049898279983
butcher_lang_1879,valiant,9.0,29.0,0.1642381771302004,0.44147049898279983
butcher_lang_1879,good,121.0,427.0,0.04148017239694424,0.4047242463438456
butcher_lang_1879,high,73.0,257.0,0.04510304334825577,0.34211039056717346
butcher_lang_1879,yellow,3.0,10.0,0.19802998760087576,0.32165933583341605
butcher_lang_1879,golden,40.0,140.0,0.05443874909409718,0.3061697125446018
butcher_lang_1879,wanton,5.0,17.0,0.13965843222722718,0.2864786954476466
butcher_lang_1879,distressed,2.0,7.0,0.19783696303240195,0.2715656647462777
butcher_lang_1879,feeble,2.0,7.0,0.19783696303240195,0.2715656647462777
butcher_lang_1879,old,127.0,458.0,0.01883278952269407,0.18869684545714818
butcher_lang_1879,brilliant,0.0,1.0,0.1959579721312874,0.12016335116859655
butcher_lang_1879,copper,0.0,1.0,0.1959579721312874,0.12016335116859655
butcher_lang_1879,formidable,0.0,1.0,0.1959579721312874,0.12016335116859655
butcher_lang_1879,merciless,0.0,1.0,0.1959579721312874,0.12016335116859655
butcher_lang_1879,sun-bright,0.0,1.0,0.1959579721312874,0.12016335116859655
butcher_lang_1879,blameless,4.0,15.0,0.06058954362268043,0.11347905759217901
butcher_lang_1879,guiltless,2.0,8.0,0.07326137351028272,0.10210615283946264
butcher_lang_1879,subtle,2.0,8.0,0.07326137351028272,0.10210615283946264
butcher_lang_1879,captain,1.0,5.0,-0.0021746902869033136,-0.002367421514511685
butcher_lang_1879,fearful,1.0,5.0,-0.0021746902869033136,-0.002367421514511685
butcher_lang_1879,gleaming,1.0,5.0,-0.0021746902869033136,-0.002367421514511685
butcher_lang_1879,murky,1.0,5.0,-0.0021746902869033136,-0.002367421514511685
butcher_lang_1879,foolish,5.0,20.0,-0.01792646485525573,-0.037448222368582126
butcher_lang_1879,endless,2.0,9.0,-0.037385264877762836,-0.05275517543487962
butcher_lang_1879,kingly,2.0,9.0,-0.037385264877762836,-0.05275517543487962
butcher_lang_1879,low,9.0,36.0,-0.048121276701238,-0.1325537521287677
butcher_lang_1879,silver,22.0,85.0,-0.03724945900617804,-0.1577292863942664
butcher_lang_1879,loyal,1.0,6.0,-0.1682224846117144,-0.18632022630484701
butcher_lang_1879,boastful,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,chieftain,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,dazzling,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,deceitful,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,despairing,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,hopeful,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,sagacious,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,terrified,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,treacherous,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,wily,0.0,2.0,-0.3119212627338115,-0.2019163648195329
butcher_lang_1879,afraid,3.0,15.0,-0.18949942426403954,-0.32136358820642824
butcher_lang_1879,clever,0.0,3.0,-0.6453327605326447,-0.428719756358095
butcher_lang_1879,gentle,18.0,76.0,-0.12179139707690556,-0.47174718702237234
butcher_lang_1879,comely,4.0,21.0,-0.2649719436802531,-0.5131458056936383
butcher_lang_1879,keen,5.0,26.0,-0.27341265679960447,-0.5858358140898583
butcher_lang_1879,courageous,0.0,4.0,-0.8935553802722467,-0.6029891107692709
butcher_lang_1879,glowing,1.0,9.0,-0.5447293422720509,-0.6229947556895575
butcher_lang_1879,warlike,2.0,14.0,-0.4574166705866345,-0.6710196435998769
butcher_lang_1879,purple,12.0,56.0,-0.21036121156780485,-0.6755835128634815
butcher_lang_1879,lovely,8.0,40.0,-0.2625749267684858,-0.6987498717177423
butcher_lang_1879,handsome,0.0,5.0,-1.0911258560901116,-0.7442755584929982
butcher_lang_1879,little,15.0,70.0,-0.21687081032998368,-0.7760419698728923
butcher_lang_1879,woeful,3.0,20.0,-0.4672160331739006,-0.811655354010042
butcher_lang_1879,narrow,1.0,11.0,-0.7338135399333447,-0.8502719142602383
butcher_lang_1879,shrewd,1.0,11.0,-0.7338135399333447,-0.8502719142602383
butcher_lang_1879,weary,4.0,25.0,-0.43452635380839144,-0.8537586915119585
butcher_lang_1879,crimson,0.0,6.0,-1.2550799824754408,-0.8630202708811737
butcher_lang_1879,intelligent,0.0,6.0,-1.2550799824754408,-0.8630202708811737
butcher_lang_1879,melancholy,0.0,6.0,-1.2550799824754408,-0.8630202708811737
